,city_state,pop
183,"Torrance, CA","143,592"
184,"McAllen, TX","143,268"
185,"Syracuse, NY","142,327"
186,"Surprise, AZ","141,664"
187,"Denton, TX","141,541"
188,"Roseville, CA","141,500"
189,"Thornton, CO","141,464"
190,"Miramar, FL","141,191"
191,"Pasadena, CA","141,029"
192,"Mesquite, TX","140,937"
193,"Olathe, KS","140,545"
194,"Dayton, OH","140,407"
195,"Carrollton, TX","139,248"
196,"Waco, TX","139,236"
197,"Orange, CA","138,669"
198,"Fullerton, CA","138,632"
199,"Charleston, SC","137,566"
200,"West Valley City, UT","135,248"
201,"Visalia, CA","134,605"
202,"Hampton, VA","134,510"
203,"Gainesville, FL","133,997"
204,"Warren, MI","133,943"
205,"Coral Springs, FL","133,759"
206,"Cedar Rapids, IA","133,562"
207,"Round Rock, TX","133,372"
208,"Sterling Heights, MI","132,438"
209,"Kent, WA","132,319"
210,"Columbia, SC","131,674"
211,"Santa Clara, CA","130,365"
212,"New Haven, CT","130,250"
213,"Stamford, CT","129,638"
214,"Concord, CA","129,295"
215,"Elizabeth, NJ","129,216"
216,"Athens-Clarke County unified government (balance), GA","126,913"
217,"Thousand Oaks, CA","126,813"
218,"Lafayette, LA","126,185"
219,"Simi Valley, CA","125,613"
220,"Topeka, KS","125,310"
221,"Norman, OK","124,880"
222,"Fargo, ND","124,662"
223,"Wilmington, NC","123,744"
224,"Abilene, TX","123,420"
225,"Odessa, TX","123,334"
226,"Columbia, MO","123,195"
227,"Pearland, TX","122,460"
228,"Victorville, CA","122,385"
229,"Hartford, CT","122,105"
230,"Vallejo, CA","121,692"
231,"Allentown, PA","121,442"
232,"Berkeley, CA","121,363"
233,"Richardson, TX","121,323"
234,"Arvada, CO","121,272"
235,"Ann Arbor, MI","119,980"
236,"Rochester, MN","118,935"
237,"Cambridge, MA","118,927"
238,"Sugar Land, TX","118,488"
239,"Lansing, MI","118,210"
240,"Evansville, IN","117,979"
241,"College Station, TX","117,911"
242,"Fairfield, CA","117,133"
243,"Clearwater, FL","116,946"
244,"Beaumont, TX","116,825"
245,"Independence, MO","116,672"
246,"Provo, UT","116,618"
247,"West Jordan, UT","116,480"
248,"Murrieta, CA","116,223"
249,"Palm Bay, FL","115,552"
250,"El Monte, CA","115,487"
251,"Carlsbad, CA","115,382"
252,"North Charleston, SC","115,382"
253,"Temecula, CA","114,761"
254,"Clovis, CA","114,584"
255,"Springfield, IL","114,230"
256,"Meridian, ID","114,161"
257,"Westminster, CO","113,166"
258,"Costa Mesa, CA","113,003"
259,"High Point, NC","112,791"
260,"Manchester, NH","112,673"
261,"Pueblo, CO","112,361"
262,"Lakeland, FL","112,136"
263,"Pompano Beach, FL","112,118"
264,"West Palm Beach, FL","111,955"
265,"Antioch, CA","111,502"
266,"Everett, WA","111,475"
267,"Downey, CA","111,126"
268,"Lowell, MA","110,997"
269,"Centennial, CO","110,937"
270,"Elgin, IL","110,849"
271,"Richmond, CA","110,567"
272,"Peoria, IL","110,417"
273,"Broken Arrow, OK","110,198"
274,"Miami Gardens, FL","110,001"
275,"Billings, MT","109,577"
276,"Jurupa Valley, CA","109,527"
277,"Sandy Springs, GA","109,452"
278,"Gresham, OR","109,381"
279,"Lewisville, TX","109,212"
280,"Hillsboro, OR","109,128"
281,"San Buenaventura (Ventura), CA","109,106"
282,"Greeley, CO","108,649"
283,"Inglewood, CA","108,151"
284,"Waterbury, CT","107,568"
285,"League City, TX","107,536"
286,"Santa Maria, CA","107,263"
287,"Tyler, TX","106,985"
288,"Davie town, FL","106,306"
289,"Daly City, CA","106,280"
290,"Boulder, CO","105,673"
291,"Allen, TX","105,623"
292,"West Covina, CA","105,101"
293,"Sparks, NV","105,006"
294,"Wichita Falls, TX","104,683"
295,"Green Bay, WI","104,578"
296,"San Mateo, CA","104,430"
297,"Norwalk, CA","103,949"
298,"Rialto, CA","103,526"
299,"Las Cruces, NM","103,432"
300,"Chico, CA","103,301"
301,"El Cajon, CA","102,708"
302,"Burbank, CA","102,511"
303,"South Bend, IN","102,026"
304,"Renton, WA","101,751"
305,"Vista, CA","101,638"
306,"Davenport, IA","101,590"
307,"Edinburg, TX","101,170"
308,"Tuscaloosa, AL","101,129"
309,"Carmel, IN","101,068"
310,"Spokane Valley, WA","101,060"
311,"San Angelo, TX","101,004"
312,"Vacaville, CA","100,670"
313,"Bend, OR","100,421"
314,"Kenosha, WI","99,944"
315,"Boca Raton, FL","99,805"
316,"Lee's Summit, MO","99,357"
317,"Nampa, ID","99,277"
318,"Rio Rancho, NM","99,178"
319,"South Fulton, GA","99,155"
320,"Roanoke, VA","99,143"
321,"Beaverton, OR","99,037"
322,"Yuma, AZ","98,285"
323,"Lawrence, KS","98,193"
324,"Orem, UT","97,828"
325,"Longmont, CO","97,261"
326,"San Marcos, CA","96,664"
327,"Albany, NY","96,460"
328,"Sandy, UT","96,380"
329,"Concord, NC","96,341"
330,"Federal Way, WA","96,289"
331,"Hesperia, CA","95,750"
332,"Brockton, MA","95,708"
333,"Compton, CA","95,605"
334,"Flint, MI","95,538"
335,"Erie, PA","95,508"
336,"New Bedford, MA","95,363"
337,"Fishers, IN","95,310"
338,"Sunrise, FL","95,166"
339,"Roswell, GA","94,763"
340,"Menifee, CA","94,756"
341,"Tracy, CA","94,740"
342,"Plantation, FL","94,580"
343,"Quincy, MA","94,470"
344,"Portsmouth, VA","94,398"
345,"Mission Viejo, CA","94,381"
346,"Chino, CA","94,371"
347,"Lynn, MA","94,299"
348,"Edmond, OK","94,054"
349,"Dearborn, MI","93,932"
350,"Livonia, MI","93,665"
351,"Yakima, WA","93,637"
352,"South Gate, CA","93,444"
353,"Greenville, NC","93,400"
354,"Lawton, OK","93,025"
355,"Kirkland, WA","93,010"
356,"Asheville, NC","92,870"
357,"Deltona, FL","92,757"
358,"Redding, CA","92,590"
359,"Bellingham, WA","92,314"
360,"Suffolk, VA","92,108"
361,"Indio, CA","91,765"
362,"Mount Pleasant town, SC","91,684"
363,"Carson, CA","91,394"
364,"Santa Barbara, CA","91,364"
365,"Conroe, TX","91,079"
366,"Westminster, CA","90,643"
367,"Santa Monica, CA","90,401"
368,"New Braunfels, TX","90,209"
369,"Livermore, CA","90,189"
